,sequence_id,x,y,width,height
37,9b346eec-dda6-497f-8531-f5e38a93fb4f,605.0,385.0,30.0,14.0
38,6054c00c-bc1e-46f6-9910-3a008ff4af7c,602.0,384.0,60.0,11.0
39,ab8b7d0d-fbcf-4e09-9bf4-97f9cea537cf,601.0,385.0,37.0,13.0
40,ddfe5a62-0824-47e2-9611-29ce629d1c61,600.0,385.0,29.0,14.0
41,f03a41fb-8045-4a84-bfbb-ebbf57a799fa,601.0,386.0,29.0,13.0
42,0acea040-16c1-43e6-be41-f1406011d1e1,598.0,387.0,36.0,11.0
43,8b5ecabd-e25b-45ee-9b93-453121ec4a31,599.0,388.0,28.0,10.0
44,8ed309c2-eb88-4990-8304-62852c042943,596.0,387.0,33.0,10.0
45,f0b6013c-4def-43de-8888-4c0e61324c88,593.0,386.0,39.0,11.0
46,e31129a5-7ce5-4305-921b-5536908caeaf,589.0,384.0,35.0,12.0
47,a8ccd1fb-485d-4609-afc2-32b77e2dd336,589.0,384.0,34.0,11.0
48,a5eb3daa-61ff-4ea3-b1ac-f1963615d3ff,569.0,377.0,53.0,18.0
49,242cec5c-c111-451e-a6a6-28e816d83a3e,565.0,368.0,55.0,25.0
50,32ecdd99-2a27-4a60-ad68-57dc686fe87d,575.0,369.0,141.0,73.0
51,488c2bb9-7705-443f-8968-043484bd4c9a,575.0,390.0,142.0,40.0
52,ff3dc7d0-d090-4138-8764-281397b93666,577.0,376.0,140.0,64.0
53,e7e67b21-6366-4020-8c2e-9710efa4ed39,586.0,361.0,130.0,82.0
54,e7e67b21-6366-4020-8c2e-9710efa4ed39,566.0,358.0,155.0,87.0
55,631dffa1-850c-4bee-8a1b-4942aeb6e3a6,559.0,374.0,163.0,67.0
56,871b3277-037f-4da1-afc7-3098e5f53378,568.0,385.0,152.0,48.0
57,f295f652-1bbf-4d4f-9a48-42ef4eb3d842,575.0,360.0,146.0,82.0
58,4d7c933c-2a14-4b76-831c-9d5c2ba4ab84,567.0,391.0,155.0,45.0
59,35e921c9-3a3a-4a30-8f36-9db73f8e0407,575.0,348.0,137.0,99.0
60,84036502-e9ed-41d2-bcce-6963dabb22d5,560.0,371.0,165.0,70.0
61,aa344ba7-59b3-4642-b346-24c4346588d3,557.0,385.0,169.0,51.0
62,d86fd338-2bbf-40e6-bdc3-1bdd6f3b386f,564.0,380.0,162.0,57.0
63,050b2824-4cfe-4d5d-be82-fea2d7909a87,569.0,350.0,146.0,95.0
64,8534b9ce-dee8-482b-9108-6ea05121f6b2,558.0,382.0,170.0,55.0
65,7e4de951-f101-495c-90c6-a0b78e0be6dc,567.0,392.0,160.0,42.0
66,533ccfcb-c21c-43ee-926a-bf622011c4b2,563.0,358.0,157.0,84.0
67,b63ab881-20da-4c33-9f8f-d22d9225f5fd,559.0,398.0,169.0,30.0
68,3b5e0008-d3b3-412f-aa01-88d82e8c3269,557.0,394.0,172.0,34.0
69,64afa71b-e8d6-4844-a54b-9e5e2b94b553,563.0,359.0,167.0,81.0
70,0bf85a09-35af-4b96-bca2-d1ae0f286699,554.0,385.0,177.0,48.0
71,2475dba7-d674-4626-9c0e-b94519bb93ca,563.0,365.0,168.0,73.0
72,b79ae9a4-a37c-4a2a-9fec-c7e88f8e35a8,561.0,394.0,169.0,37.0
73,74c39341-6d11-47fb-8901-685cfa6b0b5c,554.0,381.0,177.0,54.0
74,d1c8e729-10b7-498a-8d65-fdcd8355b88a,567.0,365.0,157.0,73.0
75,7ee58267-04d0-4872-a907-8234746283fc,555.0,367.0,175.0,71.0
76,6f54bded-8d85-41ef-be64-4d3254d08b17,553.0,376.0,179.0,60.0
77,fead6c85-3e3d-4523-87f5-a17a1af383fb,551.0,398.0,182.0,30.0
78,a71cfe74-5687-4e89-8dc5-3b5dbd249ead,551.0,386.0,183.0,43.0
79,ed075c5a-4435-4ec3-854e-41c6a00869c0,550.0,381.0,183.0,50.0
80,cbc6bee9-4185-445c-a15e-039b1de55436,558.0,368.0,176.0,66.0
81,390cae19-1585-4bfd-956a-8d8c28140110,553.0,369.0,181.0,64.0
82,9764a1b0-1623-4dd8-98ac-d3ca718fe396,551.0,375.0,183.0,57.0
83,668056ae-e788-4dc3-b2aa-46ece2bc02d7,548.0,398.0,186.0,18.0
84,3aed07b4-c965-4329-b247-2b3a6e711aed,556.0,361.0,172.0,73.0
85,a85af4d1-533d-4266-a67c-0aa80a00094f,550.0,384.0,185.0,44.0
86,8913db6f-7ad4-49b8-9680-7b865dce0994,549.0,397.0,184.0,17.0
87,536eec23-0b9e-40d4-bfef-f37fe846ac5d,549.0,394.0,185.0,28.0
88,83e20202-c405-4d6e-bfff-6d807e9dbbfa,550.0,395.0,185.0,27.0
89,4706c138-b79e-4172-841b-5075d5508117,557.0,362.0,173.0,69.0
90,e22a5cbc-0489-48d4-848b-1ca19fa13268,550.0,393.0,184.0,28.0
91,d95a51d5-4510-4874-b7d8-502d27c3be5c,552.0,375.0,183.0,50.0
92,3760b6a4-6ef0-4eed-9fb6-d727e8fc8636,551.0,375.0,183.0,50.0
93,9b25ff74-74f4-4b65-a209-9f9a722ef69d,550.0,390.0,185.0,31.0
94,13def912-c453-4bc0-a4ef-feb2c8149393,558.0,370.0,173.0,54.0
95,8bd1c5fb-a407-4b0a-be38-030d21e7ba07,550.0,387.0,182.0,30.0
96,ed9d09a6-eb4a-499f-a68d-dcd4f305b649,551.0,372.0,179.0,51.0
97,02e1cdc0-836e-467b-852a-767f9adb2d8c,551.0,382.0,183.0,37.0
98,4f1856d0-b892-4c22-9621-e6fea1c08f94,559.0,388.0,173.0,24.0
99,54b1ba65-43e4-4a48-97e7-da9b28b76cc6,550.0,384.0,181.0,35.0
100,07eaea61-c52a-413f-a1f6-d1de53eeaa7f,552.0,388.0,181.0,26.0
101,ca577ed7-7d44-4e11-9749-ebb2b0c84ba6,560.0,384.0,170.0,32.0
102,708400aa-77c2-4654-a7de-64ee0ab19068,549.0,385.0,184.0,28.0
103,649aea6e-daa7-46f6-a6b8-5bc35c04896d,560.0,383.0,171.0,35.0
104,43050df2-c742-4e69-9545-015797c51dee,554.0,384.0,178.0,30.0
105,bbc0b0cd-36fb-4b50-95d0-fe514bd6eff9,555.0,384.0,176.0,27.0
106,fc647403-75ac-4d31-b947-81ec1489daa9,558.0,383.0,173.0,27.0
107,86dd1db2-d2c8-47f3-8705-557b8c37ef86,561.0,377.0,164.0,49.0
108,953c52d7-10ff-418f-a54e-a11ceb2ec5db,559.0,379.0,167.0,39.0
109,33de8760-5d12-4443-8905-5adb9dec643b,549.0,383.0,181.0,27.0
110,c6282020-9ee1-41b2-8c33-91e89b404cb8,569.0,377.0,156.0,47.0
111,fdc34a63-22a6-4dae-b062-06c8ff80eb41,562.0,381.0,166.0,27.0
112,650cc815-7b27-47c2-aeba-d1cbf0368498,557.0,374.0,172.0,55.0
113,9100bf54-8df6-4ede-966c-af8dcc4c90b7,554.0,379.0,174.0,33.0
114,793b1356-2f33-44a5-bc40-494366e9bb03,578.0,373.0,141.0,57.0
115,c86646fd-53ba-4b12-8976-fe0faa526b4e,558.0,372.0,164.0,59.0
116,ebacdc3a-e729-4331-bf1a-1f50984751be,564.0,381.0,160.0,23.0
117,74633aff-c15a-4921-ae09-761cf87940d3,556.0,380.0,169.0,26.0
118,9f4bb83b-6ff6-403d-aff2-05c3292fb3af,570.0,379.0,152.0,26.0
119,5f782485-32f7-45da-92a8-39fadb17eb35,579.0,378.0,142.0,26.0
120,e7ac69e6-bd92-4dcc-bc5c-b64857ca6444,579.0,369.0,136.0,66.0
121,38535497-b27d-4c39-9c15-7256a697f0ed,561.0,369.0,163.0,64.0
122,011801aa-0e5c-46b1-83a3-6e12a62e2463,569.0,373.0,152.0,46.0
123,dd4db5dc-692e-431b-a89f-8fe1ec1c9307,570.0,371.0,151.0,50.0
124,a5b3d52c-b7cd-4353-ab19-7b44136f081d,568.0,364.0,145.0,76.0
125,cefc26f4-b6c4-47ee-baaa-36d956c30ec1,579.0,381.0,138.0,23.0
126,90621cab-31f9-4548-b70b-a6fc1ae079cb,566.0,363.0,147.0,80.0
127,03e2fd55-f886-43cb-803e-924b2fc8a535,580.0,368.0,136.0,58.0
128,3d4bf960-dec5-49c7-a9c2-17763d78498b,557.0,382.0,162.0,21.0
129,b7d914c6-7ea4-476e-b389-0615b0b3820b,589.0,364.0,123.0,73.0
130,b81e60c2-975f-4ec1-861d-de80e12a918b,583.0,361.0,123.0,78.0
131,0d32e4b1-f8e9-48fe-9a71-237c46a0cc94,587.0,368.0,124.0,54.0
132,0b6e0b11-760e-44ae-b8d2-94a5b5611d61,578.0,360.0,135.0,88.0
133,0309b7cf-e5bc-45a8-874c-fe012b31f954,592.0,363.0,118.0,66.0
134,1ffbf375-7a77-4a5f-8357-aa481dc64d4c,573.0,372.0,139.0,38.0
135,c0f6404b-d69f-4e40-ba21-05438024c658,568.0,365.0,146.0,54.0
136,1658d263-16a5-4b62-9cea-b911c830f133,571.0,372.0,141.0,41.0
137,9ea0453e-7e8f-4952-9ae6-0278e5834e4f,583.0,368.0,124.0,42.0
138,07274f31-bf41-4861-8221-9be8c50f681a,582.0,370.0,126.0,43.0
139,47a48b5f-d9a5-4c85-a1cb-64a8d60f5186,591.0,366.0,114.0,54.0
140,a34af604-ba48-46ef-83cf-634302971da6,586.0,371.0,119.0,38.0
141,bd82d65d-2ee8-48f7-abda-6edcbdc88b19,580.0,355.0,128.0,92.0
142,9f8597d8-1f76-4bac-8e2c-bd536f2fc49a,576.0,369.0,132.0,46.0
143,44e2a5d8-4168-4f74-bcc1-9e1b0947dfdd,580.0,360.0,126.0,69.0
144,1d9ac011-a9fb-4d7c-b737-5c02c902025b,574.0,368.0,133.0,50.0
145,b8545b3b-63e0-4cf9-a4f2-2a7e59bf2caf,587.0,359.0,115.0,75.0
146,5bd5f292-79d5-40b3-9350-6a43d9a6feef,680.0,420.0,7.0,7.0
147,a4316cd8-b834-462f-a3f0-49b8c2c0d5d2,688.0,422.0,5.0,6.0
148,7695613e-7d6c-4c35-b0af-a00e1d2300f6,680.0,408.0,14.0,11.0
149,a5a61078-1156-4d57-b597-bc767b9cd37f,684.0,411.0,17.0,12.0
150,7bc9bde7-4bb0-4715-9ecc-99e375c6f1ec,670.0,401.0,24.0,13.0
151,9ccd06cd-bd81-49a0-9d63-f12c12228f36,661.0,418.0,23.0,16.0
152,27a8a3cd-0595-4acc-9a59-909b4472f931,684.0,409.0,20.0,12.0
153,878aabc8-dfec-479c-b310-68909ac16406,701.0,397.0,17.0,10.0
154,f509e7d0-2d90-416f-a526-9a1331fcb535,671.0,399.0,31.0,14.0
155,16ef1fa0-660d-49c1-86d2-82fcc78c36ff,,,,
