sequence_id,Pos_x,Pos_y,Pos_z,RotE_x,RotE_y,RotE_z,RotQ_x,RotQ_y,RotQ_z,RotQ_w
044695e1-f89c-48c8-977e-1521fada2d7a,-309.1445,33.7392731,-620.6203,350.535461,56.73719,4.33E-07,0.06815442,-0.4737146,-0.0368027,-0.8772656
1dbcc3fa-5d8d-4c91-b02f-b477a836035d,-304.08847,34.7080536,-617.3039,351.115265,56.7371979,0,0.06481601,-0.4738512,-0.03499999,-0.8775187
115078ca-4d61-4ca8-8753-3830cc8d3f29,-300.296448,35.3934364,-614.8166,351.5513,56.7371979,-2.16E-07,0.06258535,-0.4739386,-0.03379545,-0.8776805
edaad46d-6aab-48d2-af9d-9311a3d38c77,-297.768433,35.8307381,-613.1584,351.84256,56.7371979,-2.16E-07,0.05811318,-0.4741046,-0.03138053,-0.877988
399322d7-86a6-41d5-b95f-542bae71eadb,-292.7124,36.6582527,-609.842,352.426331,56.7371941,2.15E-07,0.05587214,-0.4741832,-0.03017039,-0.8781334
d7b1cf61-a48b-4c76-8180-d82be5cf7f40,-290.1844,37.0484657,-608.1838,352.7188,56.7371979,0,0.05250413,-0.4742954,-0.02835169,-0.8783413
48b7d462-02d3-428c-b76f-60a31df5c29e,-286.392365,37.6043549,-605.6965,353.158264,56.7371941,-2.15E-07,0.04800275,-0.4744344,-0.025921,-0.8785987
9b1e43d4-149a-432a-becc-fab264ec6c8a,-281.336334,38.2906036,-602.380066,353.745453,56.7371941,0,0.04574782,-0.4744994,-0.02470336,-0.878719
a82f76f5-6a93-4b6f-8d67-2f7616eccfb8,-278.808319,38.6101837,-600.721863,354.03952,56.7372,-4.29E-07,0.04349007,-0.4745613,-0.02348419,-0.8788337
c6a25aa9-ea0c-4b30-88cf-e07d9b197678,-276.2803,38.9140663,-599.06366,354.333923,56.7371941,0,0.04009872,-0.4746484,-0.02165289,-0.8789949
cbc67e27-06bf-4f44-bc98-532340992b9a,-272.488281,39.34046,-596.576355,354.7761,56.7372,-6.43E-07,0.03783461,-0.4747026,-0.02043031,-0.8790953
d0d69dd7-7a8a-4e96-ba36-bb48780e1e3d,-269.960266,39.6051064,-594.918152,355.071228,56.7371979,4.28E-07,0.03443453,-0.4747781,-0.0185943,-0.879235
0c1147d3-d9f9-4859-a983-312600acbdde,-266.168243,39.9726448,-592.430847,355.5144,56.7372,2.14E-07,0.0298938,-0.4748678,-0.01614235,-0.8794011
12e192cc-98d4-46b9-9ece-46d0f340717c,-261.1122,40.40776,-589.114441,356.10614,56.7372055,-2.14E-07,0.02648359,-0.4749267,-0.01430087,-0.8795105
feffcedb-1e4b-4442-9c7d-bd72411e3c18,-257.3202,40.692894,-586.627136,356.5505,56.7371864,1.07E-07,0.02420814,-0.4749621,-0.01307215,-0.8795761
1fc2e2e1-3bf4-4202-a918-6fe6007a12a1,-254.792191,40.86336,-584.968933,356.846954,56.73719,1.07E-07,0.01965278,-0.4750235,-0.0106123,-0.8796896
b4759efc-a157-47e0-b33f-2c75c43f69d7,-249.73616,41.15721,-581.6525,357.4404,56.7371979,0,0.01509249,-0.4750721,-0.008149794,-0.8797796
3f278044-d92c-44da-9eaf-81fcc96bfb20,-244.68013,41.3882751,-578.3361,358.0344,56.7371941,0,0.01167001,-0.4751002,-0.006301689,-0.8798317
ef70dd13-6548-403d-a90f-b67c03b185d3,-240.8881,41.52037,-575.8488,358.480164,56.7371941,0,0.008245887,-0.4751212,-0.004452697,-0.8798705
f3ca693b-595e-430f-b5f2-12b1b437018a,-237.096085,41.6171532,-573.3615,358.926117,56.7371979,5.34E-08,0.005962644,-0.4751311,-0.003219768,-0.8798889
fcb9fbcb-b3e5-4176-8310-3422fb286580,-234.568069,41.662056,-571.7033,359.22348,56.7371979,0,0.001394794,-0.4751415,-0.000753175,-0.879908
60cb8d30-4650-46f3-910a-a1191457ac2c,-229.512039,41.70477,-568.3869,359.818359,56.7372,0,0.000889297,0.4751418,-0.000480212,0.8799086
6ff185c1-ed58-41da-93b0-4f2f7ba001be,-226.984024,41.7025833,-566.7287,0.115814187,56.7371979,0,0.004315255,0.4751363,-0.002330194,0.8798985
33de07ce-94f0-418a-8cfe-57e5d36d6918,-223.192,41.6698723,-564.2414,0.561982751,56.7371941,0,0.008882203,0.4751179,-0.004796299,0.8798643
be30d617-e79a-4740-9ef5-d6089e2685df,-218.135971,41.57132,-560.925,1.1567589,56.7372055,1.60E-07,0.01116494,0.4751038,-0.006028953,0.8798382
fcba8003-9420-46cb-a413-8e989ad0060c,-215.607956,41.4985,-559.2668,1.45406151,56.7372,5.34E-08,0.013447,0.4750865,-0.007261241,0.8798063
d1d38d0b-c20a-4197-af92-7d76ada7aa1e,-213.079941,41.4099846,-557.6086,1.75128567,56.7371979,5.34E-08,0.01800853,0.4750425,-0.009724426,0.8797248
abcf5c42-e9a1-4e52-b8b7-d0e2813b2147,-208.023911,41.1858673,-554.2922,2.34543562,56.7371941,0,0.02256571,0.4749857,-0.01218525,0.8796197
ed271079-8a91-4392-8f67-14b3d684685d,-202.96788,40.8989677,-550.975769,2.93908,56.7371941,0,0.02484233,0.4749526,-0.0134146,0.8795584
596b3e23-9fe3-4b7a-a2fe-9831f29ca1e3,-200.439865,40.73197,-549.317566,3.23567414,56.73719,-1.07E-07,0.02939093,0.4748769,-0.0158708,0.8794181
395fd94b-e608-4310-b599-a1c65e38aec6,-195.383835,40.3508949,-546.00116,3.82832575,56.7371979,0,0.03166264,0.4748343,-0.01709751,0.8793393
93fa4bcc-f5b1-4921-9cb9-2679b8827c4a,-192.85582,40.13681,-544.342957,4.12435246,56.7371941,-1.07E-07,0.03506661,0.4747646,-0.01893561,0.8792101
2723a175-244a-494b-a148-d53f97445edc,-189.0638,39.7862549,-541.855652,4.567974,56.7371979,2.14E-07,0.03846584,0.4746879,-0.02077117,0.8790679
40be1c87-885a-4949-bc63-c78c8ae444ab,-185.271774,39.400383,-539.368347,5.01104736,56.7372055,2.14E-07,0.04185991,0.4746041,-0.02260393,0.8789128
aef8cc40-63a1-4063-9643-4a58ca7a2623,-181.479752,38.9792,-536.881042,5.45352173,56.7372055,2.14E-07,0.04524833,0.4745134,-0.02443364,0.8787449
cd2fceca-5137-4d73-aa67-2a66f7bd1cf8,-177.687729,38.5226974,-534.393738,5.895342,56.7371941,0,0.04975677,0.4743818,-0.02686815,0.8785012
e0089a0c-6283-4c6f-abdd-9da3c609c3a0,-172.6317,37.8590927,-531.077332,6.48333836,56.7372,4.30E-07,0.0531304,0.474275,-0.02868988,0.8783036
d1069508-6192-4780-b861-674b173cce43,-168.839676,37.3201866,-528.59,6.92344332,56.73719,-6.45E-07,0.05649697,0.4741615,-0.03050779,0.8780935
f5ec4da3-495d-45a4-a5c5-3e3c49365188,-165.047653,36.7459641,-526.1027,7.362729,56.73719,-2.15E-07,0.05985606,0.4740414,-0.03232167,0.8778709
7d9ec0c4-f490-4753-8bd3-f7f0d520512b,-161.25563,36.136425,-523.6154,7.801147,56.7371979,-4.31E-07,0.06320724,0.4739145,-0.03413127,0.877636
354370c4-992b-428d-96a8-ed21a2ea136e,-157.463608,35.49157,-521.1281,8.238646,56.7371941,-2.16E-07,0.06543677,0.4738263,-0.0353352,0.8774725
851d24d6-08fa-41b2-8173-5ace96b864fb,-154.9356,35.0420456,-519.4699,8.529779,56.7371979,0,0.06988429,0.4736411,-0.03773681,0.8771296
e90c4aee-169b-4122-a7e8-58fafb678048,-149.879562,34.09591,-516.1535,9.110705,56.7372,0,0.07210201,0.4735442,-0.03893435,0.87695
cf31e783-f5c3-4e09-8926-c40836448fd8,-147.351547,33.5992966,-514.4953,9.400466,56.7372,8.65E-07,0.07542075,0.4733934,-0.04072645,0.8766708
5becf039-40ac-4d4c-b063-6efeef3a92be,-143.559525,32.82495,-512.008,9.834198,56.7372,0,0.0809301,0.473128,-0.04370144,0.8761794
8655de83-51a9-4d01-aa14-a641ca139305,-137.239487,31.45589,-507.862335,10.5545359,56.7371979,-4.34E-07,0.08312588,0.4730171,-0.04488714,0.8759738
69ea75d8-d24e-4a45-896a-72ee6df91288,-134.711472,30.8808,-506.204071,10.8417454,56.7372055,4.35E-07,0.08859435,0.4727275,-0.04784006,0.8754377
861e7411-0bc6-4e37-a3b2-b29c0b9505d5,-128.391434,29.3744011,-502.0584,11.5573263,56.7372,0,0.09077311,0.4726069,-0.04901655,0.8752144
9cec1495-e5e4-4686-aeb8-25652c396000,-125.863441,28.7443733,-500.400146,11.8425531,56.7371979,4.36E-07,0.0940316,0.4724211,-0.05077611,0.8748704
5fe15ed4-bbb3-4e41-a8d5-fc31c5708c43,-122.071442,27.7699013,-497.91275,12.2692709,56.7371979,4.37E-07,0.09943601,0.4720984,-0.05369445,0.8742725
56b30a41-be11-4d1a-af91-200cb0141db6,-115.751442,26.0673027,-493.7671,12.9773865,56.7371979,-4.38E-07,0.1026622,0.4718969,-0.05543658,0.8738996
daa66e1c-a81b-4feb-8796-39cf109f8c8e,-111.959442,24.9986553,-491.2797,13.400341,56.7371941,-4.39E-07,0.1069441,0.4716195,-0.05774872,0.873386
3d62c10a-69d3-4fab-8a5e-54219d4e00b3,-106.903442,23.518856,-487.963165,13.9619684,56.73719,-8.80E-07,0.1101402,0.471405,-0.0594746,0.8729886
d6ae5f0f-f5f8-4f3a-902a-4e6e8c30055a,-103.111443,22.3678055,-485.475769,14.3814058,56.7371941,-8.81E-07,0.1133229,0.4711851,-0.06119324,0.8725812
4a3263f7-108a-4ad8-835e-058756f936ba,-99.31944,21.1814384,-482.988373,14.79928,56.7372,4.42E-07,0.1185968,0.4708064,-0.06404107,0.8718801
2e628baf-4b4a-42bf-a693-56670e78df92,-92.99944,19.12568,-478.8427,15.4921446,56.7371979,-4.43E-07,0.1206954,0.4706509,-0.06517428,0.871592
2e4b7cae-64bd-4a18-80e1-bd2cd6314e16,-90.47144,18.27591,-477.184448,15.7680073,56.7371979,-4.44E-07,0.1238312,0.4704132,-0.06686761,0.8711521
891f2d2b-2e4f-427a-a50d-b040ed4e3d10,-86.67944,16.9718227,-474.697052,16.1803951,56.73719,-4.44E-07,0.1279896,0.4700887,-0.0691131,0.8705508
2f8056f1-86b3-41d0-8556-d6ede54ce8a2,-81.62344,15.1781044,-471.380524,16.7275753,56.7372,0,0.1310909,0.4698393,-0.07078778,0.8700892
d93c6236-da3c-4f83-bae9-ca89fbab29a3,-77.83144,13.7916145,-468.893127,17.1359158,56.73719,-8.93E-07,0.1310909,0.4698393,-0.07078778,0.8700892
5c9bb168-0b73-4921-b157-0b0995a16ffd,-74.2922,12.4653625,-466.571533,17.1359158,56.73719,-8.93E-07,0.1141583,0.4689079,-0.04321833,0.8747717
c4212b6e-359d-419a-8e65-99ae3fad4aa8,-74.30495,12.4243584,-466.579346,13.9016323,56.6120453,1.85647833,0.09127727,0.4672566,-0.001579512,0.879396
8d300f78-da03-4691-a83f-9d36487103e2,-74.31985,12.3655663,-466.588776,9.323803,56.3582344,4.797055,0.05093716,0.4627278,0.09472388,0.8799522
fd8ee265-165a-4546-bc90-ab8da771b3d3,-74.33893,12.244215,-466.602264,0.113548562,55.4880562,12.3478022,-0.02976052,-0.4590576,-0.1660398,-0.872245
9f34203d-3104-4d39-b4c7-44bdc1268b65,-74.34587,12.1647968,-466.6088,354.2305,54.57074,18.5778122,-0.02341559,-0.4539764,-0.2867438,-0.8432883
f0563a34-dbfc-46d3-adf7-344259e75039,-74.35144,12.0699644,-466.611176,347.2406,53.0176163,31.17533,-0.08906811,-0.4457122,-0.4064396,-0.7925997
13d3fc3d-5e6b-4a1f-9d35-f5c688839592,-74.3631744,12.066906,-466.594574,347.22522,53.0075874,47.9066467,-0.1456487,-0.4305794,-0.5052809,-0.7335387
f3f2ce25-378e-47e2-9407-de4b719cb46f,-74.37374,12.0653219,-466.579926,347.205841,53.007164,62.7202873,-0.2065098,-0.4049212,-0.6062012,-0.6526198
6ea21867-8c3d-4e17-ab69-71dfdec57680,-74.38565,12.063426,-466.5634,347.209747,53.0071449,79.37844,-0.2691916,-0.3663004,-0.7034152,-0.5464127
785715e2-2055-4276-bec9-d6d19a73c2c1,-74.39883,12.0611925,-466.544983,347.223816,53.0143471,97.92804,-0.3301753,-0.312499,-0.7893702,-0.4125813
057c7a63-6250-4c5a-b923-039fcb5dba26,-74.413414,12.058753,-466.524719,347.237732,53.021328,118.424591,-0.384585,-0.2423903,-0.8544078,-0.2516521
081e05a1-f906-4411-8822-7b6150820584,-74.42934,12.0560837,-466.502563,347.25354,53.0221519,140.799042,-0.4373021,-0.1242596,-0.8906879,-0.001260344
0feb96f5-cd51-4d08-b04d-687a71eff309,-74.45254,12.0523539,-466.470337,347.276245,53.0282,173.470459,-0.4539351,-0.0249259,-0.8690622,0.1950708
9ad2641f-f721-4169-8168-c5e4264fb553,-74.4706345,12.0491705,-466.4452,347.2661,53.0271873,198.929642,-0.4480638,0.07697358,-0.8040013,0.3832699
afa30ad7-c175-4351-8946-f5dcb86d7a70,-74.488884,12.0463486,-466.4198,347.309479,53.03569,224.622864,-0.4197409,0.1745344,-0.6990039,0.5520408
4516d932-ce8f-47e8-bf6d-bfaebb809277,-74.50734,12.0441294,-466.394562,347.3246,53.03216,250.25647,-0.370579,0.2631911,-0.55931,0.6932345
c4d05d72-ea28-4b5b-b302-541cc3cc0e99,-74.52571,12.04182,-466.369324,347.327057,53.0257645,275.8645,-0.3019913,0.3397064,-0.3926225,0.79953
5437f8d9-027d-4acd-914a-58f8dfe884f8,-74.5439148,12.0397148,-466.343933,347.517029,53.05779,301.4416,-0.1878363,0.4139851,-0.1409522,0.8794693
3882fda9-e7a4-40e9-afc8-78bb4b0fa867,-74.56831,12.036581,-466.310028,347.6614,53.09149,335.6073,0.09044529,-0.4456124,-0.05821302,-0.8887409
d97bdefe-7702-4401-917d-fce441158d98,-74.58668,12.0340843,-466.2845,347.722565,53.1139145,1.3408829,0.02250107,-0.4541534,-0.1903297,-0.8700649
8659c9fd-35f3-4d6d-989a-50c59e4ff57e,-74.5989,12.0323563,-466.2675,347.7585,53.12137,18.5414581,-0.1134457,-0.4403663,-0.4389105,-0.7749613
983f96c2-3d59-4de4-bb04-df5567166762,-74.6233139,12.0287132,-466.233429,347.8348,53.1382561,52.9504852,-0.2102405,-0.4032671,-0.6025872,-0.6557922
bba78533-ed49-435f-aba6-a0d947f2c812,-74.641655,12.0247555,-466.2075,347.862457,53.1475563,79.06973,-0.2693885,-0.3664524,-0.6956704,-0.5560442
7aab7d94-d675-4f05-8a2e-d293a5197718,-74.65399,12.02212,-466.190063,347.86145,53.152092,96.64058,-0.3862855,-0.2398704,-0.853735,-0.2537365
88a7be27-ff82-426b-a827-562e78324f68,-74.6846161,12.0135927,-466.146576,347.669983,53.1058273,140.715668,-0.4190344,-0.1766327,-0.8823803,-0.1208962
4e33422b-adff-4184-a404-55fb513d5015,-74.69724,12.01282,-466.12912,347.8545,53.1409264,158.305511,-0.4482531,-0.07625888,-0.8867117,0.08364277
c36c4f5b-4eb4-40fb-98cf-97d99bb06953,-74.71573,12.0088682,-466.103058,347.864441,53.13628,184.691772,-0.4503371,0.0626161,-0.8200416,0.3475738
254292d0-2501-4d50-a7dd-788c9ebdb209,-74.7404,12.0035849,-466.068237,347.856842,53.1318245,219.850327,-0.4354558,0.1307093,-0.7573488,0.4687389
7d7507cf-643f-4f1a-8ef3-2e6771d02a16,-74.75267,12.0009842,-466.050842,347.863281,53.13029,237.423,-0.3944518,0.2259868,-0.6299938,0.6296392
101c9a83-4676-40f9-a848-a874ed510112,-74.77115,11.9963388,-466.0248,347.761353,53.1072655,263.833984,-0.3071421,0.3351557,-0.410696,0.7903564
b3898f12-e06d-459e-9e32-71a06d0ed386,-74.79586,11.99166,-465.99,347.8654,53.12461,299.000519,-0.2225422,0.3964435,-0.2194473,0.863221
b516819a-1446-4e6c-8ba7-a64534c72961,-74.8144455,11.9876566,-465.963837,347.8654,53.1285439,325.388763,-0.1257717,0.4369098,-0.01565925,0.8905314
10191d4a-d6db-4d58-afb5-0cb28c42e1e5,-74.83308,11.9835539,-465.937653,347.858673,53.12984,351.8975,0.02218743,-0.4541142,-0.1889371,-0.8703969
7cd4f595-9745-4c3c-b5e8-63e413d07f97,-74.8517,11.9796352,-465.911438,347.864655,53.1312828,18.4095039,-0.08057964,-0.4474407,-0.3832871,-0.8039868
5dcb0fed-e3b2-4e30-bf01-89554dd79ddd,-74.8704453,11.97583,-465.885437,347.676758,53.098423,44.8021431,-0.1815968,-0.4168463,-0.5561371,-0.6956818
